sample_id,client_id,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,heart_rate,temperature
0,5,sitting,-0.0052,9.5297,-0.2181,-0.0322,-0.0113,0.0767,19.6896,0.8286,-39.2634,69.746,36.7172
1,5,running,1.4751,9.1405,0.6555,0.5587,0.4162,0.3929,19.2517,4.6833,-41.6745,148.4559,37.6342
2,5,lying,-0.0438,0.1719,9.8469,-0.0218,0.0526,-0.0815,18.7155,1.4674,-42.293,68.6175,36.4305
3,5,sitting,0.0334,10.5735,-0.1966,0.0325,0.0217,0.0192,19.9716,2.5463,-40.078,63.5264,36.225
4,5,standing,0.108,9.663,-0.0181,0.067,-0.0356,-0.0092,20.5847,2.2992,-40.4377,79.5461,36.5404
5,5,sitting,-0.0877,9.824,0.1474,0.0398,-0.0291,0.0408,20.7354,4.5073,-42.8097,69.7483,36.3984
6,5,sitting,0.1636,9.5732,0.3816,-0.0053,-0.01,-0.0083,17.6319,4.3359,-39.2796,83.3717,36.4861
7,5,running,1.5971,9.1315,0.3763,0.5183,0.3543,0.4561,22.601,4.0019,-35.4324,146.8981,37.6224
8,5,standing,0.1333,9.6175,0.0685,-0.0034,0.0877,-0.004,16.2332,4.1944,-41.7373,70.8886,36.2284
9,5,sitting,0.2447,9.191,-0.1038,0.0362,-0.07,0.0095,21.7186,2.2278,-39.6549,77.9646,36.5385
10,5,lying,0.2161,-0.6824,10.0739,0.0492,-0.095,-0.0688,17.7367,6.5195,-40.397,60.0536,36.4964
11,5,standing,0.6197,9.8236,-0.2219,0.0142,0.0806,-0.0027,20.6201,3.6702,-40.6705,70.1241,36.4745
12,5,cycling,0.4669,8.9735,0.3004,0.2201,0.3293,0.1313,19.8159,2.015,-44.0051,110.5487,37.215
13,5,walking,0.0871,9.228,0.0036,0.0912,0.1134,0.1277,18.0111,1.0674,-40.4249,91.658,36.7811
